"competition","mf","level","match_id","date","home_team","visiting_team","match_n_sets","home_team_set_score","visiting_team_set_score","set_number","home_team_score","visiting_team_score","margin"
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1775048",2019-08-30,"Weber State","UNLV",4,3,1,1,25,22,3
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1775048",2019-08-30,"Weber State","UNLV",4,3,1,2,24,26,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1775048",2019-08-30,"Weber State","UNLV",4,3,1,3,25,17,8
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1775048",2019-08-30,"Weber State","UNLV",4,3,1,4,25,23,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756021",2019-08-30,"Green Bay","Northeastern",4,3,1,1,25,16,9
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756021",2019-08-30,"Green Bay","Northeastern",4,3,1,2,26,28,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756021",2019-08-30,"Green Bay","Northeastern",4,3,1,3,27,25,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756021",2019-08-30,"Green Bay","Northeastern",4,3,1,4,25,23,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756024",2019-08-30,"UC Riverside","SIUE",3,3,0,1,25,17,8
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756024",2019-08-30,"UC Riverside","SIUE",3,3,0,2,25,20,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756024",2019-08-30,"UC Riverside","SIUE",3,3,0,3,25,18,7
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756026",2019-08-30,"Alabama","Marist",3,3,0,1,25,20,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756026",2019-08-30,"Alabama","Marist",3,3,0,2,25,19,6
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756026",2019-08-30,"Alabama","Marist",3,3,0,3,25,17,8
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756025",2019-08-30,"Marshall","UT Martin",3,3,0,1,25,19,6
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756025",2019-08-30,"Marshall","UT Martin",3,3,0,2,25,20,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756025",2019-08-30,"Marshall","UT Martin",3,3,0,3,25,23,2
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756029",2019-08-30,"VCU","Texas Tech",3,0,3,1,17,25,8
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756029",2019-08-30,"VCU","Texas Tech",3,0,3,2,20,25,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756029",2019-08-30,"VCU","Texas Tech",3,0,3,3,19,25,6
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756030",2019-08-30,"Arkansas State","Milwaukee",5,2,3,1,15,25,10
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756030",2019-08-30,"Arkansas State","Milwaukee",5,2,3,2,25,17,8
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756030",2019-08-30,"Arkansas State","Milwaukee",5,2,3,3,25,18,7
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756030",2019-08-30,"Arkansas State","Milwaukee",5,2,3,4,14,25,11
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756030",2019-08-30,"Arkansas State","Milwaukee",5,2,3,5,10,15,5
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756027",2019-08-30,"North Texas","Illinois State",4,1,3,1,25,16,9
"NCAA D1 Women 2019","female","College","NCAA_D1W19-1756027",2019-08-30,"North Texas","Illinois State",4,1,3,2,20,25,5
